Book Id,Title,Author,ISBN,Average Rating,Number of Pages,Original Publication Year
6310,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,0142403881,4.15,176,1964
139253,The House on Mango Street,Sandra Cisneros,0679734775,3.68,110,1984
7728,"Antigone (The Theban Plays, #3)",Sophocles,1580493882,3.67,80,-441
7588,A Portrait of the Artist as a Young Man,James Joyce,0142437344,3.63,329,1916
12957,Much Ado About Nothing,William Shakespeare,0743482751,4.06,246,1598
902,The Westing Game,Ellen Raskin,014240120X,4.01,182,1978
14706,"Faust, First Part",Johann Wolfgang von Goethe,0553213482,3.9,327,1808
128092,"The Pigman (The Pigman, #1)",Paul Zindel,0060757353,3.59,166,1968
17245,Dracula,Bram Stoker,0393970124,4,488,1897
5517,A Raisin in the Sun,Lorraine Hansberry,0375508333,3.83,162,1959
1625,Twelfth Night,William Shakespeare,0743482778,3.98,272,1601
53496,Walk Two Moons,Sharon Creech,0060739495,3.97,280,1994
4900,Heart of Darkness,Joseph Conrad,1892295490,3.43,188,1899
37793,A Doll's House,Henrik Ibsen,1406914835,3.75,122,1879
30119,Where the Sidewalk Ends,Shel Silverstein,0060513039,4.31,176,1974
368468,"Bud, Not Buddy",Christopher Paul Curtis,0385323069,3.95,243,1999
14942,Mrs. Dalloway,Virginia Woolf,0151009988,3.79,194,1925
5326,A Christmas Carol,Charles Dickens,1561797464,4.07,104,1843
391729,The Tell-Tale Heart and Other Writings,Edgar Allan Poe,0553212281,4.18,448,1843
1934,Little Women,Louisa May Alcott,0451529308,4.12,449,1869
370493,The Giving Tree,Shel Silverstein,0060256656,4.37,64,1964
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,0385333846,4.08,275,1969
13006,Julius Caesar,William Shakespeare,0198320272,3.69,175,1599
37415,Their Eyes Were Watching God,Zora Neale Hurston,0061120065,3.96,219,1937
33574273,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,1250153271,3.99,218,1962
15645,Inferno,Dante Alighieri,0812970063,4.01,490,1320
7445,The Glass Castle,Jeannette Walls,074324754X,4.29,288,2005
18114322,The Grapes of Wrath,John Steinbeck,067001690X,3.99,479,1939
355697,All Quiet on the Western Front,Erich Maria Remarque,0449213943,4.01,296,1929
2165,The Old Man and the Sea,Ernest Hemingway,0684830493,3.79,96,1952
58345,The Awakening,Kate Chopin,0543898083,3.67,195,1899
1371,The Iliad,Homer,0140275363,3.88,683,-800
6149,Beloved,Toni Morrison,1400033411,3.91,324,1987
1554,"Oedipus Rex  (The Theban Plays, #1)",Sophocles,1580495931,3.72,75,-429
1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon,1400032717,3.89,226,2003
133518,The Things They Carried,Tim O'Brien,0767902890,4.13,246,1990
24128,The Merchant of Venice,William Shakespeare,0743477561,3.79,337,1596
310459,"Roll of Thunder, Hear My Cry (Logans, #4)",Mildred D. Taylor,014034893X,3.86,288,1976
